date ,Organisme ,service ,moins de 1 an ,plus de 75 ans ,entre 1 et 75 ans ,TOTAL passages ,hospitalisés ,UHCD ,Transferts 
12/03/2013,CH de Saverne,S.A.U. (ADULTES),0,10,37,47,7,3,2
12/03/2013,CH de Sélestat,Acceuil des urgences,1,7,65,73,17,8,0
12/03/2013,CH de Thann,Urgences,1,7,41,49,7,2,3
12/03/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,17,66,83,41,1,2
12/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,11,0,38,49,13,13,0
12/03/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,1,23,24,11,0,0
12/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,2,0,40,42,3,3,0
12/03/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,19,75,94,31,0,0
12/03/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),1,3,29,33,3,0,1
12/03/2013,Clinique Ste Odile (Strasbourg,UPATOU,2,1,62,65,2,6,1
12/03/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
12/03/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
11/03/2013,CCOM,CCOM Chirurgie,0,2,18,20,4,0,0
11/03/2013,CH Altkirch,Upatou,0,14,43,57,8,2,2
11/03/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,9,0,34,43,10,0,0
11/03/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,2,29,108,139,18,13,1
11/03/2013,CH de Guebwiller,UHTCD,0,5,44,49,4,0,1
11/03/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,11,0,27,38,12,2,0
11/03/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,3,24,104,131,11,12,9
11/03/2013,CH de Saverne,PEDIATRIE,7,0,16,23,7,0,0
11/03/2013,CH de Saverne,S.A.U. (ADULTES),0,10,50,60,12,4,1
11/03/2013,CH de Sélestat,Acceuil des urgences,0,12,90,102,13,4,7
11/03/2013,CH de Thann,Urgences,0,4,28,32,0,3,4
11/03/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,24,64,88,42,4,2
11/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,3,0,46,49,2,2,0
11/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,14,0,48,62,9,9,0
11/03/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,24,24,15,0,0
11/03/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,17,79,96,37,0,1
11/03/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,2,44,46,7,0,2
11/03/2013,Clinique des Diaconesses,SOS Main,0,1,41,42,1,0,0
11/03/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
11/03/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
10/03/2013,CCOM,CCOM Chirurgie,0,0,21,21,3,0,0
10/03/2013,CH Altkirch,Upatou,1,8,33,42,8,0,0
10/03/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,16,0,42,58,3,0,1
10/03/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,16,110,126,18,6,1
10/03/2013,CH de Guebwiller,UHTCD,0,1,30,31,0,4,0
10/03/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,14,0,29,43,2,2,0
10/03/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,2,23,126,151,12,10,3
10/03/2013,CH de Saverne,PEDIATRIE,4,0,11,15,0,0,0
10/03/2013,CH de Saverne,S.A.U. (ADULTES),0,6,46,52,10,8,1
10/03/2013,CH de Sélestat,Acceuil des urgences,3,7,93,103,10,3,0
10/03/2013,CH de Thann,Urgences,0,2,38,40,2,2,2
10/03/2013,CH de Wissembourg,Urgences ,1,6,31,38,7,1,0
10/03/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,15,62,77,35,0,1
10/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,3,0,49,52,6,6,0
10/03/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,23,86,109,48,0,0
10/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,14,0,55,69,5,5,0
10/03/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,27,27,7,0,1
10/03/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,5,34,39,3,0,0
10/03/2013,Clinique des Diaconesses,SOS Main,0,2,26,28,7,1,0
10/03/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,2,82,84,1,5,0
10/03/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
10/03/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
9/03/2013,CCOM,CCOM Chirurgie,0,0,29,29,3,0,0
9/03/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,12,0,40,52,3,0,1
9/03/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,22,97,119,27,13,0
9/03/2013,CH de Guebwiller,UHTCD,0,4,37,41,2,1,0
9/03/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,8,0,19,27,5,2,0
9/03/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,1,19,114,134,17,14,0
9/03/2013,CH de Saverne,PEDIATRIE,4,0,15,19,1,0,0
9/03/2013,CH de Saverne,S.A.U. (ADULTES),0,2,39,41,5,4,1
9/03/2013,CH de Sélestat,Acceuil des urgences,1,17,74,92,13,2,2
9/03/2013,CH de Thann,Urgences,0,5,43,48,1,2,2
9/03/2013,CH de Wissembourg,Urgences ,1,6,22,29,2,2,1
9/03/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,22,86,108,47,0,3
9/03/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,1,11,92,104,32,0,2
9/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,15,0,43,58,8,8,0
9/03/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,32,32,15,0,0
9/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,4,0,55,59,6,5,0
9/03/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),1,1,47,49,3,0,2
9/03/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,4,76,80,1,8,0
9/03/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
9/03/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
8/03/2013,CCOM,CCOM Chirurgie,0,0,21,21,3,0,0
8/03/2013,CH Altkirch,Upatou,0,3,35,38,3,1,1
8/03/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,11,0,39,50,4,0,0
8/03/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,24,107,131,25,13,3
8/03/2013,CH de Guebwiller,UHTCD,0,3,34,37,2,2,2
8/03/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,14,0,18,32,7,2,0
8/03/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,1,19,106,126,14,13,1
8/03/2013,CH de Saverne,S.A.U. (ADULTES),0,10,50,60,15,5,0
8/03/2013,CH de Saverne,PEDIATRIE,2,0,14,16,1,1,0
8/03/2013,CH de Sélestat,Acceuil des urgences,1,8,80,89,14,3,2
8/03/2013,CH de Thann,Urgences,0,3,35,38,1,2,0
8/03/2013,CH de Wissembourg,Urgences ,1,6,15,22,3,1,0
8/03/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,21,78,99,51,2,3
8/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,0,0,35,35,3,3,0
8/03/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,22,77,99,44,0,0
8/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,14,0,38,52,9,9,0
8/03/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),1,0,29,30,15,0,0
8/03/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,8,44,52,11,0,0
8/03/2013,Clinique des Diaconesses,SOS Main,0,0,31,31,7,1,0
8/03/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,7,61,68,4,3,3
8/03/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
8/03/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
7/03/2013,CCOM,CCOM Chirurgie,0,1,22,23,2,0,0
7/03/2013,CH Altkirch,Upatou,0,5,33,38,5,1,0
7/03/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,6,0,40,46,13,0,0
7/03/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,21,123,144,24,11,1
7/03/2013,CH de Guebwiller,UHTCD,0,0,36,36,0,0,0
7/03/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,13,0,23,36,7,2,0
7/03/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,1,15,107,123,7,14,6
7/03/2013,CH de Saverne,S.A.U. (ADULTES),0,6,36,42,7,3,3
7/03/2013,CH de Saverne,PEDIATRIE,2,0,23,25,5,0,0
7/03/2013,CH de Sélestat,Acceuil des urgences,0,25,66,91,19,2,3
7/03/2013,CH de Thann,Urgences,0,6,37,43,2,2,0
7/03/2013,CH de Wissembourg,Urgences ,0,7,24,31,3,4,1
7/03/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,22,74,96,44,0,1
7/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,5,0,45,50,8,8,0
7/03/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,28,28,10,0,0
7/03/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,15,86,101,45,0,1
7/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,3,0,42,45,3,3,0
7/03/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,3,34,37,4,0,0
7/03/2013,Clinique des Diaconesses,SOS Main,0,1,38,39,12,0,0
7/03/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,2,78,80,1,6,2
7/03/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
7/03/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,30,30,0,0,0
6/03/2013,CCOM,CCOM Chirurgie,0,2,27,29,3,0,0
6/03/2013,CH Altkirch,Upatou,0,8,34,42,4,3,1
6/03/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,8,0,33,41,9,0,0
6/03/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,25,98,123,23,14,0
6/03/2013,CH de Guebwiller,UHTCD,0,3,30,33,1,1,2
6/03/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,13,0,27,40,4,1,0
6/03/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,1,20,109,130,13,12,1
6/03/2013,CH de Saverne,S.A.U. (ADULTES),0,14,33,47,10,8,0
6/03/2013,CH de Saverne,PEDIATRIE,4,0,16,20,1,0,0
6/03/2013,CH de Sélestat,Acceuil des urgences,1,11,52,64,9,4,2
6/03/2013,CH de Thann,Urgences,1,5,40,46,2,1,0
6/03/2013,CH de Wissembourg,Urgences ,0,6,24,30,3,1,1
6/03/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,21,58,79,42,0,0
6/03/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,28,28,11,0,0
6/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,2,0,37,39,0,0,0
6/03/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,12,86,98,30,0,0
6/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,17,0,39,56,5,5,0
6/03/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),2,6,36,44,8,0,2
6/03/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,5,66,71,2,5,1
6/03/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
6/03/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
5/03/2013,CCOM,CCOM Chirurgie,0,1,36,37,7,0,0
5/03/2013,CH Altkirch,Upatou,1,12,23,36,7,2,2
5/03/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,8,0,28,36,7,0,0
5/03/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,19,103,122,26,9,1
5/03/2013,CH de Guebwiller,UHTCD,0,4,34,38,1,0,1
5/03/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,9,0,32,41,7,2,0
5/03/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,1,25,109,135,3,20,4
5/03/2013,CH de Saverne,S.A.U. (ADULTES),0,17,37,54,12,7,1
5/03/2013,CH de Saverne,PEDIATRIE,4,0,14,18,2,1,0
5/03/2013,CH de Sélestat,Acceuil des urgences,3,13,56,72,13,4,1
5/03/2013,CH de Thann,Urgences,0,5,33,38,2,2,0
5/03/2013,CH de Wissembourg,Urgences ,0,6,26,32,8,2,0
5/03/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,20,43,63,46,0,4
5/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,3,0,31,34,4,4,0
5/03/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,20,82,102,41,0,0
5/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,12,0,49,61,13,13,0
5/03/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,27,27,14,0,0
5/03/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,3,39,42,3,0,0
5/03/2013,Clinique des Diaconesses,SOS Main,0,1,37,38,12,0,0
5/03/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,5,66,71,2,6,6
5/03/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
5/03/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
4/03/2013,CCOM,CCOM Chirurgie,0,5,44,49,6,0,0
4/03/2013,CH Altkirch,Upatou,2,6,26,34,3,2,1
4/03/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,13,0,29,42,7,1,0
4/03/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,25,118,143,28,11,0
4/03/2013,CH de Guebwiller,UHTCD,0,8,39,47,2,3,1
4/03/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,13,0,19,32,7,2,0
4/03/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,30,108,138,11,13,2
4/03/2013,CH de Saverne,S.A.U. (ADULTES),0,12,43,55,13,9,1
4/03/2013,CH de Saverne,PEDIATRIE,5,0,16,21,2,2,0
4/03/2013,CH de Sélestat,Acceuil des urgences,0,20,74,94,17,6,6
4/03/2013,CH de Thann,Urgences,0,7,29,36,3,5,0
4/03/2013,CH de Wissembourg,Urgences ,0,4,28,32,5,3,0
4/03/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,19,56,75,48,2,2
4/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,20,0,52,72,10,10,0
4/03/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,26,26,12,0,0
4/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,1,0,48,49,2,2,0
4/03/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,23,66,89,32,0,0
4/03/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),1,6,47,54,5,0,1
4/03/2013,Clinique des Diaconesses,SOS Main,0,1,39,40,11,0,0
4/03/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,4,68,72,0,7,0
4/03/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
4/03/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
3/03/2013,CCOM,CCOM Chirurgie,0,0,17,17,2,0,0
3/03/2013,CH Altkirch,Upatou,0,9,43,52,6,0,1
3/03/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,4,0,61,65,14,0,0
3/03/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,17,113,130,15,12,0
3/03/2013,CH de Guebwiller,UHTCD,0,4,41,45,1,3,1
3/03/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,22,0,19,41,4,0,0
3/03/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,1,23,115,139,11,14,1
3/03/2013,CH de Saverne,S.A.U. (ADULTES),0,5,42,47,13,4,1
3/03/2013,CH de Saverne,PEDIATRIE,2,0,14,16,3,0,0
3/03/2013,CH de Sélestat,Acceuil des urgences,1,8,79,88,11,6,1
3/03/2013,CH de Thann,Urgences,0,5,44,49,1,4,3
3/03/2013,CH de Wissembourg,Urgences ,1,6,31,38,5,2,1
3/03/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,16,89,105,34,2,0
3/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,20,0,48,68,13,11,0
3/03/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,27,27,9,0,0
3/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,4,0,43,47,5,5,0
3/03/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,15,98,113,40,0,0
3/03/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),4,2,44,50,2,0,0
3/03/2013,Clinique des Diaconesses,SOS Main,0,3,24,27,1,0,0
3/03/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,0,76,76,1,9,3
3/03/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
3/03/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
2/03/2013,CCOM,CCOM Chirurgie,0,0,16,16,1,0,0
2/03/2013,CCOM,CCOM Chirurgie,0,0,16,16,1,0,0
2/03/2013,CH Altkirch,Upatou,0,4,41,45,3,2,3
2/03/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,9,0,43,52,6,0,0
2/03/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,22,109,131,32,7,2
2/03/2013,CH de Guebwiller,UHTCD,0,7,40,47,3,1,5
2/03/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,16,0,29,45,2,1,0
2/03/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,2,24,106,132,12,9,5
2/03/2013,CH de Saverne,PEDIATRIE,2,0,22,24,5,1,0
2/03/2013,CH de Saverne,S.A.U. (ADULTES),0,11,32,43,6,5,0
2/03/2013,CH de Sélestat,Acceuil des urgences,0,17,61,78,16,4,1
2/03/2013,CH de Thann,Urgences,0,7,37,44,3,0,1
2/03/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,1,18,76,95,42,4,0
2/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,2,0,32,34,2,2,0
2/03/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,20,89,109,30,0,0
2/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,18,0,51,69,7,7,0
2/03/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),1,0,31,32,7,0,0
2/03/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,2,38,40,7,0,0
2/03/2013,Clinique des Diaconesses,SOS Main,0,2,34,36,0,0,1
2/03/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,6,58,64,3,13,1
2/03/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
2/03/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
1/03/2013,CCOM,CCOM Chirurgie,0,2,11,13,0,0,0
1/03/2013,CH Altkirch,Upatou,1,5,26,32,3,1,2
1/03/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,9,0,25,34,0,0,0
1/03/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,22,105,127,27,13,1
1/03/2013,CH de Guebwiller,UHTCD,0,5,40,45,3,3,2
1/03/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,12,0,20,32,5,1,0
1/03/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,27,82,109,22,8,3
1/03/2013,CH de Saverne,S.A.U. (ADULTES),0,11,33,44,8,6,1
1/03/2013,CH de Saverne,PEDIATRIE,4,0,13,17,4,1,0
1/03/2013,CH de Sélestat,Acceuil des urgences,2,13,56,71,12,6,1
1/03/2013,CH de Thann,Urgences,1,11,21,33,4,2,3
1/03/2013,CH de Wissembourg,Urgences ,2,6,27,35,11,0,0
1/03/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,24,72,96,51,9,0
1/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,17,0,45,62,7,7,0
1/03/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,32,32,17,0,0
1/03/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,29,77,106,43,0,0
1/03/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,4,0,33,37,4,4,0
1/03/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),1,6,39,46,6,0,1
1/03/2013,Clinique des Diaconesses,SOS Main,0,2,25,27,0,0,0
1/03/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,3,57,60,1,7,1
1/03/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
1/03/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
1/05/2013,CCOM,CCOM Chirurgie,0,1,16,17,3,0,0
1/05/2013,CH Altkirch,Upatou,0,5,29,34,6,1,2
1/05/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,4,0,38,42,5,1,0
1/05/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,1,17,96,114,23,9,0
1/05/2013,CH de Guebwiller,UHTCD,0,1,41,42,0,2,2
1/05/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,8,0,14,22,3,1,0
1/05/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,14,97,111,12,12,1
1/05/2013,CH de Saverne,S.A.U. (ADULTES),0,3,32,35,6,3,0
1/05/2013,CH de Saverne,PEDIATRIE,3,0,18,21,0,1,0
1/05/2013,CH de Sélestat,Acceuil des urgences,0,9,76,85,15,4,1
1/05/2013,CH de Thann,Urgences,2,4,44,50,1,1,3
1/05/2013,CH de Wissembourg,Urgences ,2,9,18,29,6,2,0
1/05/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,16,90,106,40,6,2
1/05/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,14,71,85,28,0,0
1/05/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,7,0,34,41,3,3,0
1/05/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,3,0,39,42,3,3,0
1/05/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,26,26,10,0,0
1/05/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,3,50,53,3,1,1
1/05/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,4,69,73,4,8,5
1/05/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
1/05/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
30/04/2013,CCOM,CCOM Chirurgie,0,0,20,20,2,0,0
30/04/2013,CH Altkirch,Upatou,0,5,27,32,5,1,0
30/04/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,5,0,37,42,5,0,0
30/04/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,28,98,126,25,8,0
30/04/2013,CH de Guebwiller,UHTCD,0,5,42,47,5,3,4
30/04/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,6,0,22,28,4,0,0
30/04/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,2,23,105,130,9,14,2
30/04/2013,CH de Saverne,S.A.U. (ADULTES),0,13,32,45,11,3,0
30/04/2013,CH de Saverne,PEDIATRIE,4,0,8,12,1,0,0
30/04/2013,CH de Sélestat,Acceuil des urgences,0,10,59,69,11,3,2
30/04/2013,CH de Thann,Urgences,0,11,37,48,1,0,1
30/04/2013,CH de Wissembourg,Urgences ,0,4,32,36,6,0,1
30/04/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,16,70,86,43,1,2
30/04/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,1,0,38,39,2,2,0
30/04/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,9,0,35,44,8,8,0
30/04/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),1,0,31,32,13,0,0
30/04/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,20,79,99,44,0,1
30/04/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),1,3,34,38,5,0,0
30/04/2013,Clinique des Diaconesses,SOS Main,0,1,28,29,0,0,0
30/04/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,3,81,84,1,7,3
30/04/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
30/04/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
29/04/2013,CCOM,CCOM Chirurgie,0,1,19,20,2,0,0
29/04/2013,CH Altkirch,Upatou,0,8,32,40,0,2,3
29/04/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,5,0,41,46,6,0,0
29/04/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,23,129,152,21,12,0
29/04/2013,CH de Guebwiller,UHTCD,0,3,36,39,1,4,1
29/04/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,8,0,33,41,5,0,0
29/04/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,16,124,140,12,14,2
29/04/2013,CH de Saverne,PEDIATRIE,5,0,15,20,1,1,0
