date,service,affaires,primaires,secondaires,néonat,TIIH,ASSU,VSAV,conseils,Medecins
27/10/2012,SAMU 68,480,24,4,0,0,28,76,132,69
26/10/2012,SAMU 68,498,17,6,0,0,23,70,105,32
25/10/2012,SAMU 68,452,10,4,0,0,14,79,125,31
24/10/2012,SAMU 68,433,16,5,0,0,22,81,120,23
23/10/2012,SAMU 68,357,22,3,0,0,25,67,137,39
22/10/2012,SAMU 68,370,10,3,0,0,13,80,96,32
21/10/2012,SAMU 68,693,18,6,0,0,24,86,264,102
20/10/2012,SAMU 68,551,13,6,0,0,19,92,166,82
19/10/2012,SAMU 68,339,14,2,0,0,16,90,98,40
18/10/2012,SAMU 68,431,17,6,0,0,23,92,102,34
17/10/2012,SAMU 68,394,26,7,0,0,34,87,113,26
16/10/2012,SAMU 68,426,14,6,0,0,20,78,116,31
15/10/2012,SAMU 68,293,18,7,3,0,23,77,103,20
14/10/2012,SAMU 68,538,8,3,0,0,11,62,217,111
13/10/2012,SAMU 68,499,17,10,0,0,27,74,237,85
12/10/2012,SAMU 68,431,15,8,0,0,23,76,113,40
11/10/2012,SAMU 68,410,8,7,1,0,15,80,143,30
10/10/2012,SAMU 68,339,22,8,0,0,30,68,115,31
9/10/2012,SAMU 68,499,9,2,0,0,11,72,85,35
8/10/2012,SAMU 68,451,18,6,0,0,24,95,96,28
7/10/2012,SAMU 68,495,21,1,0,0,22,84,172,108
6/10/2012,SAMU 68,508,21,1,0,0,22,92,182,94
5/10/2012,SAMU 68,484,15,6,0,0,21,85,102,26
4/10/2012,SAMU 68,447,18,9,0,0,27,100,82,40
3/10/2012,SAMU 68,441,15,3,0,0,18,70,117,14
2/10/2012,SAMU 68,311,15,9,0,0,24,72,70,24
1/10/2012,SAMU 68,436,12,5,0,0,18,76,157,26
30/09/2012,SAMU 68,567,24,5,0,0,29,85,180,118
29/09/2012,SAMU 68,501,19,6,0,0,25,84,187,86
28/09/2012,SAMU 68,548,14,10,0,0,24,86,128,35
27/09/2012,SAMU 68,378,23,5,0,0,28,64,96,35
26/09/2012,SAMU 68,385,19,4,0,0,23,79,106,25
25/09/2012,SAMU 68,322,13,5,0,0,18,71,102,32
24/09/2012,SAMU 68,352,12,5,0,0,17,78,68,38
23/09/2012,SAMU 68,543,19,6,0,0,25,93,186,109
22/09/2012,SAMU 68,529,17,4,0,0,21,85,175,92
21/09/2012,SAMU 68,394,15,8,0,0,23,90,112,13
20/09/2012,SAMU 68,481,10,7,0,0,18,75,129,30
19/09/2012,SAMU 68,459,17,6,0,0,23,70,101,17
18/09/2012,SAMU 68,384,16,5,0,0,21,89,68,35
17/09/2012,SAMU 68,466,16,5,0,0,21,92,129,45
16/09/2012,SAMU 68,554,21,6,0,0,26,89,208,103
15/09/2012,SAMU 68,586,21,1,0,0,22,103,148,60
14/09/2012,SAMU 68,333,16,11,0,0,27,82,101,27
13/09/2012,SAMU 68,470,16,9,0,0,26,96,93,37
12/09/2012,SAMU 68,353,15,4,0,0,19,72,88,30
11/09/2012,SAMU 68,377,18,9,0,0,27,83,133,15
10/09/2012,SAMU 68,429,16,5,0,0,21,69,117,31
9/09/2012,SAMU 68,598,20,4,0,0,24,110,211,114
8/09/2012,SAMU 68,530,11,6,1,0,17,92,192,85
7/09/2012,SAMU 68,371,15,6,0,0,21,87,83,23
6/09/2012,SAMU 68,346,17,9,0,0,26,80,108,27
5/09/2012,SAMU 68,407,15,2,0,0,17,74,114,22
4/09/2012,SAMU 68,424,16,5,0,0,21,64,120,29
3/09/2012,SAMU 68,356,12,8,0,0,20,64,128,27
2/09/2012,SAMU 68,599,25,9,0,0,34,78,181,84
1/09/2012,SAMU 68,504,15,6,0,0,21,73,184,70
31/08/2012,SAMU 68,324,10,3,0,0,13,62,99,42
30/08/2012,SAMU 68,440,19,9,0,0,28,66,98,32
29/08/2012,SAMU 68,376,12,6,0,0,18,74,92,29
28/08/2012,SAMU 68,378,8,2,0,0,11,59,110,29
27/08/2012,SAMU 68,393,14,6,0,0,20,70,128,36
26/08/2012,SAMU 68,614,19,1,0,0,20,77,249,97
25/08/2012,SAMU 68,508,8,2,0,0,10,75,193,67
24/08/2012,SAMU 68,432,23,6,0,0,29,85,126,24
23/08/2012,SAMU 68,446,16,7,0,0,23,82,109,30
22/08/2012,SAMU 68,458,12,6,0,0,18,75,120,24
21/08/2012,SAMU 68,415,21,3,0,0,24,83,102,31
20/08/2012,SAMU 68,429,19,1,0,0,20,84,109,41
19/08/2012,SAMU 68,552,21,4,0,0,25,78,189,107
18/08/2012,SAMU 68,587,24,1,0,0,26,78,224,60
17/08/2012,SAMU 68,393,11,1,0,0,12,67,149,43
16/08/2012,SAMU 68,351,17,4,0,0,21,72,97,29
15/08/2012,SAMU 68,619,13,2,0,0,15,93,285,80
14/08/2012,SAMU 68,410,16,6,1,0,22,70,132,17
13/08/2012,SAMU 68,339,13,9,0,0,22,65,115,25
12/08/2012,SAMU 68,484,28,10,0,0,38,89,181,79
11/08/2012,SAMU 68,491,23,4,0,0,27,71,151,94
9/08/2012,SAMU 68,437,15,0,0,0,15,102,106,34
8/08/2012,SAMU 68,387,14,3,0,0,18,106,114,39
7/08/2012,SAMU 68,345,11,5,0,0,16,55,84,26
6/08/2012,SAMU 68,370,15,9,0,0,24,71,107,24
5/08/2012,SAMU 68,569,20,2,0,0,22,80,219,78
4/08/2012,SAMU 68,511,21,2,0,0,23,84,188,60
3/08/2012,SAMU 68,437,19,8,0,0,27,73,125,26
2/08/2012,SAMU 68,468,17,3,0,0,20,69,138,27
1/08/2012,SAMU 68,415,23,7,0,0,30,84,121,26
31/07/2012,SAMU 68,398,14,9,0,0,23,68,128,31
30/07/2012,SAMU 68,453,22,9,0,0,31,67,168,31
29/07/2012,SAMU 68,554,11,7,0,0,18,74,213,97
28/07/2012,SAMU 68,600,12,2,0,0,14,70,248,61
27/07/2012,SAMU 68,492,17,6,0,0,23,98,126,37
26/07/2012,SAMU 68,364,9,5,0,0,14,71,153,24
25/07/2012,SAMU 68,491,22,3,0,0,25,98,132,36
24/07/2012,SAMU 68,339,18,4,0,0,22,77,94,29
23/07/2012,SAMU 68,374,19,7,0,0,26,65,114,27
22/07/2012,SAMU 68,533,20,6,0,0,26,80,212,84
21/07/2012,SAMU 68,534,11,4,0,0,15,87,182,75
20/07/2012,SAMU 68,368,16,6,0,0,22,72,97,36
19/07/2012,SAMU 68,433,12,2,0,0,14,67,127,41
18/07/2012,SAMU 68,425,19,5,0,0,24,81,130,33
17/07/2012,SAMU 68,373,16,7,0,0,23,76,115,20
16/07/2012,SAMU 68,344,16,4,0,0,20,81,113,32
15/07/2012,SAMU 68,528,22,8,0,0,30,63,214,113
14/07/2012,SAMU 68,587,10,6,0,0,16,61,347,112
13/07/2012,SAMU 68,430,15,10,0,0,25,69,122,21
12/07/2012,SAMU 68,469,8,2,0,0,10,71,128,34
11/07/2012,SAMU 68,417,17,7,0,0,24,58,115,44
10/07/2012,SAMU 68,375,13,7,1,0,20,88,125,29
9/07/2012,SAMU 68,399,26,4,0,0,30,81,140,28
8/07/2012,SAMU 68,612,22,8,0,0,30,75,270,112
7/07/2012,SAMU 68,510,17,6,0,0,23,85,181,90
6/07/2012,SAMU 68,427,20,6,0,0,26,76,139,38
5/07/2012,SAMU 68,366,12,3,0,0,15,78,132,33
4/07/2012,SAMU 68,428,14,7,0,0,21,77,146,39
3/07/2012,SAMU 68,420,20,4,0,0,24,97,118,30
2/07/2012,SAMU 68,393,17,5,0,0,22,67,118,33
1/07/2012,SAMU 68,619,24,6,0,0,30,81,263,127
30/06/2012,SAMU 68,711,22,6,0,0,28,108,256,88
29/06/2012,SAMU 68,487,18,5,0,0,23,109,110,31
28/06/2012,SAMU 68,498,15,4,0,0,19,93,139,23
27/06/2012,SAMU 68,449,19,5,0,0,24,91,119,39
26/06/2012,SAMU 68,355,21,9,0,0,30,76,98,26
25/06/2012,SAMU 68,472,13,3,0,0,16,84,164,24
23/06/2012,SAMU 68,613,12,3,0,0,15,92,244,74
22/06/2012,SAMU 68,499,27,3,0,0,30,108,120,24
21/06/2012,SAMU 68,420,11,9,0,0,20,98,129,33
20/06/2012,SAMU 68,511,13,9,0,0,22,78,152,39
